Date,VIX,10Y_Treasury_Yield,Inflation_CPI
2019-01-01,,,252.561
2019-01-02,23.22,2.66,
2019-01-03,25.45,2.56,
2019-01-04,21.38,2.67,
2019-01-07,21.4,2.7,
2019-01-08,20.47,2.73,
2019-01-09,19.98,2.74,
2019-01-10,19.5,2.74,
2019-01-11,18.19,2.71,
2019-01-14,19.07,2.71,
2019-01-15,18.6,2.72,
2019-01-16,19.04,2.73,
2019-01-17,18.06,2.75,
2019-01-18,17.8,2.79,
2019-01-21,,,
2019-01-22,20.8,2.74,
2019-01-23,19.52,2.76,
2019-01-24,18.89,2.72,
2019-01-25,17.42,2.76,
2019-01-28,18.87,2.75,
2019-01-29,19.13,2.72,
2019-01-30,17.66,2.7,
2019-01-31,16.57,2.63,
2019-02-01,16.14,2.7,253.319
2019-02-04,15.73,2.73,
2019-02-05,15.57,2.71,
2019-02-06,15.38,2.7,
2019-02-07,16.37,2.65,
2019-02-08,15.72,2.63,
2019-02-11,15.97,2.65,
2019-02-12,15.43,2.68,
2019-02-13,15.65,2.71,
2019-02-14,16.22,2.66,
2019-02-15,14.91,2.66,
2019-02-18,,,
2019-02-19,14.88,2.65,
2019-02-20,14.02,2.65,
2019-02-21,14.46,2.69,
2019-02-22,13.51,2.65,
2019-02-25,14.85,2.67,
2019-02-26,15.17,2.64,
2019-02-27,14.7,2.69,
2019-02-28,14.78,2.73,
2019-03-01,13.57,2.76,254.277
2019-03-04,14.63,2.72,
2019-03-05,14.74,2.72,
2019-03-06,15.74,2.69,
2019-03-07,16.59,2.64,
2019-03-08,16.05,2.62,
2019-03-11,14.33,2.64,
2019-03-12,13.77,2.61,
2019-03-13,13.41,2.61,
2019-03-14,13.5,2.63,
2019-03-15,12.88,2.59,
2019-03-18,13.1,2.6,
2019-03-19,13.56,2.61,
2019-03-20,13.91,2.54,
2019-03-21,13.63,2.54,
2019-03-22,16.48,2.44,
2019-03-25,16.33,2.43,
2019-03-26,14.68,2.41,
2019-03-27,15.15,2.39,
2019-03-28,14.43,2.39,
2019-03-29,13.71,2.41,
2019-04-01,13.4,2.49,255.233
2019-04-02,13.36,2.48,
2019-04-03,13.74,2.52,
2019-04-04,13.58,2.51,
2019-04-05,12.82,2.5,
2019-04-08,13.18,2.52,
2019-04-09,14.28,2.51,
2019-04-10,13.3,2.48,
2019-04-11,13.02,2.51,
2019-04-12,12.01,2.56,
2019-04-15,12.32,2.55,
2019-04-16,12.18,2.6,
2019-04-17,12.6,2.59,
2019-04-18,12.09,2.57,
2019-04-19,,,
2019-04-22,12.42,2.59,
2019-04-23,12.28,2.57,
2019-04-24,13.14,2.53,
2019-04-25,13.25,2.54,
2019-04-26,12.73,2.51,
2019-04-29,13.11,2.54,
2019-04-30,13.12,2.51,
2019-05-01,14.8,2.52,255.296
2019-05-02,14.42,2.55,
2019-05-03,12.87,2.54,
2019-05-06,15.44,2.51,
2019-05-07,19.32,2.45,
2019-05-08,19.4,2.49,
2019-05-09,19.1,2.45,
2019-05-10,16.04,2.47,
2019-05-13,20.55,2.4,
2019-05-14,18.06,2.42,
2019-05-15,16.44,2.37,
2019-05-16,15.29,2.4,
2019-05-17,15.96,2.39,
2019-05-20,16.31,2.41,
2019-05-21,14.95,2.43,
2019-05-22,14.75,2.39,
2019-05-23,16.92,2.31,
2019-05-24,15.85,2.32,
2019-05-27,,,
2019-05-28,17.5,2.26,
2019-05-29,17.9,2.25,
2019-05-30,17.3,2.22,
2019-05-31,18.71,2.14,
2019-06-01,,,255.213
2019-06-03,18.86,2.07,
2019-06-04,16.97,2.12,
2019-06-05,16.09,2.12,
2019-06-06,15.93,2.12,
2019-06-07,16.3,2.09,
2019-06-10,15.94,2.15,
2019-06-11,15.99,2.15,
2019-06-12,15.91,2.13,
2019-06-13,15.82,2.1,
2019-06-14,15.28,2.09,
2019-06-17,15.35,2.09,
2019-06-18,15.15,2.06,
2019-06-19,14.33,2.03,
2019-06-20,14.75,2.01,
